PRODUCT_CODE,ITEM,LENGTH,COLOR,TYPE,PRICE,STOCK,MPRICE,WPRICE,RPRICE
STW10 ,STW,12,P1B_99J,,64.00,17.00,32.00,32.00,96.00
STW10 ,STW,12,P1B_BG,,64.00,12.00,32.00,32.00,96.00
STW10 ,STW,12,P27_30,,64.00,14.00,32.00,32.00,96.00
STW10 ,STW,12,P27_33,,64.00,10.00,32.00,32.00,96.00
STW10 ,STW,12,P27_613,,120.00,33.00,60.00,60.00,180.00
STW10 ,STW,12,P4_27,,64.00,24.00,32.00,32.00,96.00
STW10 ,STW,12,P4_30,,54.00,12.00,27.00,27.00,81.00
STW10 ,STW,14,1,,64.00,121.00,32.00,32.00,96.00
STW10 ,STW,14,2,,64.00,5.00,32.00,32.00,96.00
STW10 ,STW,14,4,,64.00,5.00,32.00,32.00,96.00
STW10 ,STW,14,22,,104.00,143.00,52.00,52.00,156.00
STW10 ,STW,14,27,,78.00,12.00,39.00,39.00,117.00
STW10 ,STW,14,30,,64.00,13.00,32.00,32.00,96.00
STW10 ,STW,14,33,,64.00,2.00,32.00,32.00,96.00
STW10 ,STW,14,350,,78.00,18.00,39.00,39.00,117.00
STW10 ,STW,14,613,,104.00,20.00,52.00,52.00,156.00
STW10 ,STW,14,001B,,64.00,92.00,32.00,32.00,96.00
STW10 ,STW,14,99J,,78.00,4.00,39.00,39.00,117.00
STW10 ,STW,14,P18_22,,104.00,72.00,52.00,52.00,156.00
STW10 ,STW,14,P18_613,,104.00,17.00,52.00,52.00,156.00
STW10 ,STW,14,P1B_30,,68.00,7.00,34.00,34.00,102.00
STW10 ,STW,14,P1B_33,,68.00,2.00,34.00,34.00,102.00
STW10 ,STW,14,P1B_BG,,78.00,2.00,39.00,39.00,117.00
STW10 ,STW,14,P24_613,,104.00,80.00,52.00,52.00,156.00
STW10 ,STW,14,P27_24,,104.00,135.00,52.00,52.00,156.00
STW10 ,STW,14,P27_33,,78.00,2.00,39.00,39.00,117.00
STW10 ,STW,14,P27_613,,134.00,107.00,67.00,67.00,201.00
STW10 ,STW,14,P4_613,,104.00,153.00,52.00,52.00,156.00
STW10 ,STW,14,P6_24,,104.00,30.00,52.00,52.00,156.00
STW10 ,STW,14,P6_27,,78.00,96.00,39.00,39.00,117.00
STW10 ,STW,14,P6_613,,104.00,57.00,52.00,52.00,156.00
STW10 ,STW,16,1,,74.00,26.00,37.00,37.00,111.00
STW10 ,STW,16,2,,74.00,77.00,37.00,37.00,111.00
STW10 ,STW,16,4,,74.00,8.00,37.00,37.00,111.00
STW10 ,STW,16,22,,124.00,20.00,62.00,62.00,186.00
STW10 ,STW,16,350,,98.00,30.00,49.00,49.00,147.00
STW10 ,STW,16,001B,,74.00,20.00,37.00,37.00,111.00
STW10 ,STW,16,P1B_30,,78.00,16.00,39.00,39.00,117.00
STW10 ,STW,16,P1B_33,,78.00,17.00,39.00,39.00,117.00
STW10 ,STW,16,P1B_BG,,98.00,16.00,49.00,49.00,147.00
STW10 ,STW,16,P27_24,,124.00,6.00,62.00,62.00,186.00
STW10 ,STW,16,P27_30,,98.00,2.00,49.00,49.00,147.00
STW10 ,STW,16,P27_33,,98.00,4.00,49.00,49.00,147.00
STW10 ,STW,16,P4_30,,78.00,3.00,39.00,39.00,117.00
STW10 ,STW,16,P4_613,,124.00,68.00,62.00,62.00,186.00
STW10 ,STW,18,4,,88.00,2.00,44.00,44.00,132.00
STW10 ,STW,18,30,,88.00,10.00,44.00,44.00,132.00
STW10 ,STW,18,350,,112.00,15.00,56.00,56.00,168.00
STW10 ,STW,18,P18_22,,138.00,5.00,69.00,69.00,207.00
STW10 ,STW,18,P1B_30,,92.00,18.00,46.00,46.00,138.00
STW10 ,STW,18,P1B_33,,92.00,12.00,46.00,46.00,138.00
