PRODUCT_CODE,ITEM,LENGTH,COLOR,TYPE,PRICE,PRICE,STOCK,MPRICE,WPRICE,RPRICE
STW10 ,STW,14,350,,78,78,18,39,39,117
STW10 ,STW,14,613,,104,104,20,52,52,156
STW10 ,STW,14,001B,,64,64,92,32,32,96
STW10 ,STW,14,99J,,78,78,4,39,39,117
STW10 ,STW,14,P18_22,,104,104,72,52,52,156
STW10 ,STW,14,P18_613,,104,104,17,52,52,156
STW10 ,STW,14,P1B_30,,68,68,7,34,34,102
STW10 ,STW,14,P1B_33,,68,68,2,34,34,102
STW10 ,STW,14,P1B_BG,,78,78,2,39,39,117
STW10 ,STW,14,P24_613,,104,104,80,52,52,156
STW10 ,STW,14,P27_24,,104,104,135,52,52,156
STW10 ,STW,14,P27_33,,78,78,2,39,39,117
STW10 ,STW,14,P27_613,,134,134,107,67,67,201
STW10 ,STW,14,P4_613,,104,104,153,52,52,156
STW10 ,STW,14,P6_24,,104,104,30,52,52,156
STW10 ,STW,14,P6_27,,78,78,96,39,39,117
STW10 ,STW,14,P6_613,,104,104,57,52,52,156
STW10 ,STW,16,1,,74,74,26,37,37,111
STW10 ,STW,16,2,,74,74,77,37,37,111
STW10 ,STW,16,4,,74,74,8,37,37,111
STW10 ,STW,16,22,,124,124,20,62,62,186
STW10 ,STW,16,350,,98,98,30,49,49,147
STW10 ,STW,16,001B,,74,74,20,37,37,111
STW10 ,STW,16,P1B_30,,78,78,16,39,39,117
STW10 ,STW,16,P1B_33,,78,78,17,39,39,117
STW10 ,STW,16,P1B_BG,,98,98,16,49,49,147
STW10 ,STW,16,P27_24,,124,124,6,62,62,186
STW10 ,STW,16,P27_30,,98,98,2,49,49,147
STW10 ,STW,16,P27_33,,98,98,4,49,49,147
STW10 ,STW,16,P4_30,,78,78,3,39,39,117
STW10 ,STW,16,P4_613,,124,124,68,62,62,186
STW10 ,STW,18,4,,88,88,2,44,44,132
STW10 ,STW,18,30,,88,88,10,44,44,132
STW10 ,STW,18,350,,112,112,15,56,56,168
STW10 ,STW,18,P18_22,,138,138,5,69,69,207
STW10 ,STW,18,P1B_30,,92,92,18,46,46,138
STW10 ,STW,18,P1B_33,,92,92,12,46,46,138
STW10 ,STW,18,P1B_BG,,112,112,4,56,56,168
STW10 ,STW,18,P27_24,,138,138,7,69,69,207
STW10 ,STW,18,P27_33,,112,112,6,56,56,168
STW10 ,STW,18,P6_27,,112,112,4,56,56,168
STW10 ,STW,28A,1,,200,200,36,100,100,300
NSW18 ,,,,Inch,,,,,,
STUNNING LADY ,,,,Inch,,,,,,
GRACEFUL LADY ,,,,Inch,,,,,,
INTELLI LADY ,,,,Inch,,,,,,
ELEGANT LADY ,,,,Inch,,,,,,
S YK18 ,,,,Inch,,,,,,
S YK12 ,,,,Inch,,,,,,
NEW D WAVE,,,,Inch,,,,,,
DISCO L,,,,Inch,,,,,,
